iter	Passed	Remaining
976	122493977	12977	122617978	12978	122738979	12979	122852980	12980	122992981	12981	123121982	12982	123255983	12983	123374984	12984	123496985	12985	123615986	12986	123735987	12987	123872	1504
988	123991	1379
989	124129	1253
990	124247	1128
991	124373	1003
992	124487	877
993	124624	752
994	124739	626
995	124870	501
996	124988	376
997	125117	250
998	125231	125
999	125340	0
